dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
2B,2B188,385,245,233,36,92,63.64,15.45,39.48,Pont-de-Buis-lès-Quimerch
2B,2B190,197,118,112,25,31,59.9,22.32,27.68,Pont-de-Buis-lès-Quimerch
2B,2B192,209,126,119,19,22,60.29,15.97,18.49,Pont-de-Buis-lès-Quimerch
2B,2B193,463,307,298,55,85,66.31,18.46,28.52,Pont-de-Buis-lès-Quimerch
2B,2B194,35,23,23,6,3,65.71,26.09,13.04,Pont-de-Buis-lès-Quimerch
2B,2B195,152,100,95,66,5,65.79,69.47,5.26,Pont-de-Buis-lès-Quimerch
2B,2B199,138,108,106,25,14,78.26,23.58,13.21,Pont-de-Buis-lès-Quimerch
2B,2B201,208,141,135,16,16,67.79,11.85,11.85,Pont-de-Buis-lès-Quimerch
2B,2B202,22,18,18,9,0,81.82,50.00,0.00,Pont-de-Buis-lès-Quimerch
2B,2B205,700,469,458,119,110,67,25.98,24.02,Pont-de-Buis-lès-Quimerch
2B,2B206,48,42,40,22,3,87.5,55.00,7.50,Pont-de-Buis-lès-Quimerch
2B,2B207,2159,1485,1410,454,362,68.78,32.20,25.67,Pont-de-Buis-lès-Quimerch
2B,2B208,131,61,58,34,13,46.56,58.62,22.41,Pont-de-Buis-lès-Quimerch
2B,2B210,148,87,84,15,20,58.78,17.86,23.81,Pont-de-Buis-lès-Quimerch
2B,2B213,97,51,49,23,5,52.58,46.94,10.20,Pont-de-Buis-lès-Quimerch
2B,2B214,34,16,16,1,5,47.06,6.25,31.25,Pont-de-Buis-lès-Quimerch
2B,2B216,28,25,25,6,6,89.29,24.00,24.00,Pont-de-Buis-lès-Quimerch
2B,2B217,60,47,44,1,7,78.33,2.27,15.91,Pont-de-Buis-lès-Quimerch
2B,2B218,162,104,102,48,9,64.2,47.06,8.82,Pont-de-Buis-lès-Quimerch
2B,2B219,125,77,75,22,13,61.6,29.33,17.33,Pont-de-Buis-lès-Quimerch
2B,2B220,100,66,64,11,16,66,17.19,25.00,Pont-de-Buis-lès-Quimerch
2B,2B221,34,23,23,1,5,67.65,4.35,21.74,Pont-de-Buis-lès-Quimerch
2B,2B222,89,45,44,5,15,50.56,11.36,34.09,Pont-de-Buis-lès-Quimerch
2B,2B223,491,319,308,43,64,64.97,13.96,20.78,Pont-de-Buis-lès-Quimerch
2B,2B224,606,476,460,76,131,78.55,16.52,28.48,Pont-de-Buis-lès-Quimerch
2B,2B225,170,91,87,12,20,53.53,13.79,22.99,Pont-de-Buis-lès-Quimerch
2B,2B226,106,74,72,16,20,69.81,22.22,27.78,Pont-de-Buis-lès-Quimerch
2B,2B227,58,37,36,13,5,63.79,36.11,13.89,Pont-de-Buis-lès-Quimerch
2B,2B229,428,205,200,55,46,47.9,27.50,23.00,Pont-de-Buis-lès-Quimerch
2B,2B230,126,87,87,22,22,69.05,25.29,25.29,Pont-de-Buis-lès-Quimerch
2B,2B231,92,70,67,17,5,76.09,25.37,7.46,Pont-de-Buis-lès-Quimerch
2B,2B233,249,194,186,33,48,77.91,17.74,25.81,Pont-de-Buis-lès-Quimerch
2B,2B234,49,32,32,16,2,65.31,50.00,6.25,Pont-de-Buis-lès-Quimerch
2B,2B235,106,63,59,19,8,59.43,32.20,13.56,Pont-de-Buis-lès-Quimerch
2B,2B236,275,182,178,28,38,66.18,15.73,21.35,Pont-de-Buis-lès-Quimerch
2B,2B238,158,104,101,23,12,65.82,22.77,11.88,Pont-de-Buis-lès-Quimerch
2B,2B239,203,151,146,40,27,74.38,27.40,18.49,Pont-de-Buis-lès-Quimerch
2B,2B241,41,35,33,3,8,85.37,9.09,24.24,Pont-de-Buis-lès-Quimerch
2B,2B242,457,350,333,34,148,76.59,10.21,44.44,Pont-de-Buis-lès-Quimerch
2B,2B243,54,34,33,4,14,62.96,12.12,42.42,Pont-de-Buis-lès-Quimerch
2B,2B244,85,45,39,6,9,52.94,15.38,23.08,Pont-de-Buis-lès-Quimerch
2B,2B245,62,49,45,7,14,79.03,15.56,31.11,Pont-de-Buis-lès-Quimerch
2B,2B246,316,225,209,13,27,71.2,6.22,12.92,Pont-de-Buis-lès-Quimerch
2B,2B248,86,69,67,16,17,80.23,23.88,25.37,Pont-de-Buis-lès-Quimerch
2B,2B250,187,128,125,7,40,68.45,5.60,32.00,Pont-de-Buis-lès-Quimerch
2B,2B251,2529,1560,1519,244,560,61.68,16.06,36.87,Pont-de-Buis-lès-Quimerch
2B,2B252,226,137,133,21,43,60.62,15.79,32.33,Pont-de-Buis-lès-Quimerch
2B,2B255,85,66,49,11,10,77.65,22.45,20.41,Pont-de-Buis-lès-Quimerch
2B,2B256,47,38,38,3,1,80.85,7.89,2.63,Pont-de-Buis-lès-Quimerch
